# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|Ergasteria, Ergastiria, By i Grækenland, ligger paa Halvøen Attika i Laurion-Bjergene|0418
|Ergasterion (gr., lat. ergasterium), egl. Værksted, ofte »Arbejdshus« ell. Tugthus|0418
|Ergastulum (lat., afledet af gr.), hos de gl Romere baade Fængsel og Arbejdsrum for Slaver|0418
|Ergatogyner, se Myrer.|0418
|Ergeni-Højderne eller Jergeni-Højderne, et Højdedrag i det sydøst-russ. Guv. Astrachan|0418-0419
|Ergeri, se Argyrokastron.|0419
|Ergillos, gr. Heros, Konge i Orchomenos i Boiotien, Søn af Klymenos|0419
|ergo (lat.), følgelig, altsaa, e. bibamus, lad os altsaa drikke! Titel paa en Drikkesang af Goethe.|0419
|Ergograf er et Apparat, hvorved Størrelsen af det af en Muskel ell. en Muskelgruppe udførte Arbejde kan optegnes|0419
|Ergogram kaldes den ved Ergografen optegnede Fig.|0419
|Ergostat, Apparat, som sættes i Bevægelse, og hvor det udførte Muskelarbejde kan forøges og formindskes efter bestemt Maal|0419
|Ergotin, en Ekstrakt af Secale cornutum, der finder udstrakt Anvendelse i Gynækologien|0419
|Ergotisme, Raphania, Forgiftning med Meldrøje (Secale cornutum), den paa Rugen voksende Svamp|0419-0420
|Erholm, Hovedgaard i Vends Herred, V. f. Odense|0420
|Erhverv og Erhvervsstatistik|0420
|Erhvervsevne|0420-0421
|Erhvervsskatter beskatter Indtægter, der fremkommer ved en Samvirken mellem Arbejde og Kapital|0421
|Erica L. (Klokkelyng), Slægt af Lyngfamilien, Halvbuske ell. Buske|0421
|Ericaceæ, se Lyngfamilien.|0421
|Erichsen, Andreas Emil, norsk Skolemand og Historiker, (1841-1913)|0421-0422
|Erichsen, Erich, dansk Forretningsmand, (1752-1837)|0422
|Erichsen, Erich, dansk Forf. og Journalist, (1870- )|0422
|Erichsen, Johan Willoch, norsk Biskop, (1842-1916)|0422
|Erichsen, Jon (Jón Eiriksson), isl. Videnskabsmand, Deputeret og Bibliotekar, (1728-1787)|0422-0423
|Erichsen, |0423
|1) Ole Wilhelm, norsk Søofficer, Marineminister, (1793-1860)|0423
|2) Olaf Wilhelm, norsk Forf., (1870- )|0423
|Erichsen, Thorvald, norsk Maler, (1868- )|0423-0424
|Erichsen, Vigfús Árnason, isl. Forf., (1790-1846)|0424
|Erichsen, Vigilius, dansk Maler, (1722-1782)|0424
|Ericht, Loch E., Sø i Mellemskotland paa Grænsen af Shirerne Inverness og Perth|0424
|Erichthonios, |0424
|1) attisk Heros, der i Oldtiden dels sammenblandedes med Erechtheus, dels sattes i Slægtsforhold til ham|0424
|406 2) troisk Sagnkonge, Søn af Dardanos, Fader til Tros, fra hvem den troiske Kongeslægt nedstammede|0424
|Ericinol er Betegnelsen for et harpiksagtigt Stof af Sammensætningen C<sub>10</sub>H<sub>16</sub>O|0424
|Ericsson, John,  sv.  Ingeniør og  Opfinder, (1803-1889)|0424-0425
|Ericsson, Lars Magnus, sv. Mekaniker og Telefontekniker, (1846- )|0425-0426
|Ericsson, Nils, sv. Friherre, Ingeniør,(1802-1870)|0426
|Ericsson's Telefon, se Telefon.|0426
|Ericus Olai, se Erik Olsson.|0426
|Eridanos hedder i gl., oldgr. Sagn og Digtning den fjerne Flod ved Verdens Ende i det yderste Vest ell. Nord|0426
|Eridanus, et paa den sydlige Himmel liggende Stjernebillede, der fremstilles som en fl. Gange krummet Strøm|0426
|Erie, By i U. S. A., Stat Pennsylvania, ligger 150 km SV. f. Buffalo paa Sydkysten af Lake Erie|0426
|Erie-Kanalen var det tidligere Navn paa Kanalen mellem Erie-Søen og Hudson-Floden|0426
|Eriels, se Airolo.|0426
|Erie-Sø, Lake Erie, den sydligste og næstmindste af de 5 store kanadiske Søer i Nordamerika|0426-0427
|Erifyle, gr. Heroine, Datter af Talaos, Konge i Argos, og af Lysimache, Søster til Adrastos|0427
|erigere (lat.), oprette, oprejse, grunde. Smlg. Erektil.|0427
|Erigeron L. (Bakkestjerne), Slægt af Kurvblomstrede (Asters-Gruppen), urteagtige Planter|0427
|Erigone, |0427
|1) Datter af Aigisthos og Klytaimestra|0427
|2) attisk Heroine, Datter af Ikarios, hvem Dionysos besøgte og skænkede Vinen|0427-0428
|Erik, nord. Mandsnavn, ældre Eirik (af ei, altid, og rikr, mægtig).|0428
|Erik, nordiske Sagnhelte. |0428
|1) E. den Maalspage (*c: viis i Tale) norsk Høvding fra Stavangerfjord|0428
|2) sv. Konge, der fælder og fældes af sin Broder Alrik |0428
|3) Søn af Regnar Lodbrok, blev paa et Tog til Upsala fanget af Kong Eystein og valgte Døden kastes i nedplantede Spyd|0428
|Erik, Hertug af Sønderhalland 1284-1304|0428
|Erik I af Sønderjylland, Hertug 1260-72|0428
|Erik II af Sønderjylland, Hertug 1312-25|0428
|Erik, sv. Hertug, (o.1282-1318), Søn af Kong Magnus Ladelaas og Helvig af Holsten|0428-0429
|Erik XIV (1533-77), sv. Konge (1560-68), Søn af Gustaf I og dennes første Hustru, Katarina af Sachsen-Lauenburg|0429-0430
|Erik Aarsæl ell. Kol er efter Islænderne en sv. Konge efter Inge II (c. 1125)|0430
|Erik af Pommern, dansk Konge, ( -1459)|0430-0431
|Erikapaios eller Erikepaios er i de orfiske Spekulationer over Verdens Tilblivelse et mand-kvindeligt Væsen|0431
|Erik Christoffersen, ( -1332) var ældste Søn af Christoffer II og blev 1321 valgt til Medkonge|0431
|Erik den Gamle og Erik den Unge, se Haarik.|0431
|Erik den Hellige, sv. Konge, sikkert kun over Svealand, omkr. 1150-60.|0431
|Erik den Røde, se Eirikr rauði.|0431
|Erik den Røde's Ø, Grønlands Østkyst|0431-0432
|Erik Ejegod (egl. Egod, »den altid gode«), dansk Konge 1095-1103|0432
|Erik Emune, dansk Konge 1134/1-1137, var avlet af Erik Ejegod|0432-0433
|Erik Eriksson, sv. Konge, kaldt »Läspe och halte«, (1216-1250)|0433
|Erik Haraldssøn, kaldet Blodøkse, var Søn af Harald Haarfager|0433
|Erikit, et Mineral af kompliceret Sammensætning|0433
|Erik Ivarssøn, kaldet Blinde, Norges tredie Ærkebiskop|0433-0434
|Erik Jarl, Haakon Ladejarl's ældste Søn|0434
|Erik Klipping, dansk Konge 1259-86, f. c. 1249, Søn af Christoffer I|0434-0435
|Erik Knutsson, sv. Konge, Sønnesøn af Erik deri Hellige.|0435
|Erik Lam, ogsaa kaldet David, dansk Konge 1137-46|0435
|Erik (Langben) af Langeland,( -1310)|0435
|Erik Magnusson, sv. Konge, (1339-1359), var Søn af Kong Magnus Eriksson|0435
|Erik Magnussøn, af senere Historikere med Urette benævnt Præstehader, (1268- )|0435-0436
|Erik Menved, dansk Konge 1286-1319, f. 1274 som Søn af Erik Klipping|0436
|Erik Olsson, »den sv. Historieskrivnings Fader«, ( -1486)|0436-0437
|Erik Plovpenning, dansk Konge 1241-50, f. 1216 som ældste Søn af Valdemar Sejr|0437
|Eriksberg,, Sodermanlands største Gods i Nærheden af Katrineholm|0437
|Erik Sejrsæl, sv. Konge, ( -c.995), var Søn af Kong Emund|0437-0438
|Eriksen, Alfred, norsk Præst og Socialpolitiker, (1864- )|0438
|Briksen, Jens, se Jøsse Eriksson.|0438
|Eriksen, Jørgen, norsk Biskop, (1535-1604)|0438
|Eriksen, Richard, norsk filos. Forf., (1869- )|0438
|Eriksfjord, se Grønland (Historie).|0438
|Eriksgade er Navnet paa den Hyldningsrejse, som de sv. Konger, maatte foretage|0438
|Erik's sjællandske Lov|0438-0439
|Eriksson, Christian, sv. Billedhugger, (1858- )|0439
|Eriksson, Jakob, sv. Plantepatolog, (1848- )|0439
|Erik Væderhat, sv. Konge, der havde Navn af, at han ved at vende sin Hat kunde skifte Vindens Retning|0439
|rin (kelt.), gammelt Navn for Irland.|0439
|Erinaceus, se Pindsvin.|0439
|Erindring er en reproduceret personlig Oplevelse|0439-0440
|Erindringsmedaille|0440
|Erindringssvækkelse er Aftagen ell. Bortfald af Evnen til at kunne reproducere Forestillinger, som har kunnet erindres|0440
|Erindringstegn (G. B. E. T.) til Minde om Kong Christian IX's og Dronning Louise's Guldbryllup 1892|0440
|Erineum, abnorme, ofte smukt farvede, paa forsk. Planter optrædende Haardannelser|0440
|Eringerthal, se Herens, Val de.|0440
|Erinit, et smaragdgrønt Kobberarseniat (5CuO.As<sub>2</sub>O<sub>5</sub>.2H<sub>2</sub>O)|0440
|Erinna, gr. Digterinde fra Tenos ell. Telos (to Kyklader), levede i Beg. af 6. Aarh. f. Kr. som Sapfo's Veninde|0440
|Erinus L., Slægt af Maskeblomstrede med en enkelt Art E. alpinus L., lav, fleraarig Urt|0440
|Erinyer, oldgræske Gudinder, der særlig optræder som straffende og hævnende Guddomme|0440-0441
|Eriocampa, se Bladhvepse.|0441
|Eriocomi kaldes de Menneskeracer med Uldhaar, som har dette ligelig fordelt over hele Hovedet|0441
|Eriodendron, se Ceiba.|0441
|Eriogonum Michx., Slægt af Skedeknæfam., en- ell. fleraarige Urter ell. Halvbuske|0441
|Eriometer, Uldmaaler, en Plade, der langs Siderne er forsynet med Takker af forsk. Finhed|0441
|Eriomys, se Haremus.|0441-0442
|Erionit, et Mineral af Sammensætning H<sub>2</sub>CaK<sub>2</sub>Na<sub>2</sub>Al<sub>2</sub>Si<sub>6</sub>O<sub>7</sub>|0442
|eripuit coelo fulmen sceptrumque tyrannis (lat.) *c: Han har frarevet Himlen Lynet og Tyrannierne Sceptret|0442
|Eris (gr.: Splid, Tvedragt), gr. Gudinde, Kampguden Ares, Fælle og Søster|0442
|Eristalis (Dyndflue), se Blomsterfluer.|0442
|Eristik (gr., smlg. Eris), Disputerekunst|0442
|Erith, By i det sydøstlige England, Kentshire, 21 km ØSØ. f. London|0442
|Erithacus, se Rødhals.|0442
|Eritrea (Erythræa), ital. Koloni paa Vestkysten af det Røde Hav|0442
|eritreisk Daler (Scudo eritréo ell. tállero), en særlig til Brug for Kolonien Eritrea præget Sølvmønt|0442
|Eriugena, se Johannes Scotus E.|0442
|Erivan, Guv. i Transkaukasien|0442-0443
|Erk, Ludwig Christian, tysk Musiker, (1807-88),|0443
|Erkel, Franz, ung. Komponist, (1810-93)|0443
|Erkelenz, By i Preussen, Rhin-Prov., ligger 38 km NØ. f. Aachen|0443
|Erken, Henriette Marie Caroline, f. Schønberg, norsk Forfatterinde (1866- )|0443
|Erkendelse. Ordet betegner ofte hele den Side af Bevidsthedslivet, der har med Erhvervelsen af Kundskaber at gøre|0443
|Erkendelseslære. Bl. alle de Emner, Erkendelsen kan omhandle, findes ogsaa selve Erkendelsen|0443-0446
|Erkko, Eero, finsk Journalist og Politiker, (1860- )|0446
|Erkko, Juhana Henrik, finsk Digter, (1849-1906)|0446
|Erklæringsteori bruges i retsvidenskabelig Sprogbrug som Modsætning til Villiesteori|0446-0447
|Erkrath, Fabrikflække i Preussen, Rhin-Prov., ligger 10 km Ø. f. Dusseldorf|0447
|Erlach (fr. Cerlier), By i Schweiz, Kanton Bern, ligger mellem Foden af Bjerget Jolimont og den sydlige Ende af Bieler-Søen|0447
|Erlach, en gl bernsk Adelsslægt, hvis Stammeborg laa ved Bieler-Søen|0447
|1) Ulrich v. E. kommanderede efter Fortællingen Schweizerne i Slaget ved Dornhuhl 1298. |0447
|2) Rudolf v. E. deltog efter en usikker Beretning i den store Sejr ved Laupen over den burgundiske Adel 1339|0447
|3) Hans Ludvig v. E. (1595-1650)|0447
|4) Hieronymus v. E. (1667-1748), General|0447
|5) Karl Ludwig v. E. (1746-98)|0447
|Erland, norsk Erlend (og nu Ellend), nord. Mandsnavn.|0447
|Erland Erlandsen, udvalgt Ærkebiskop i Lund, ( -1276)|0447
|Erlandsen, Alfred Wilhelm Erland, dansk Læge, (1878- )|0447
|Erlandsen, Jakob, se Jakob Erlandsøn.|0447
|Erlangen. By i Kongeriget Bayern, Regeringsdistrikt Mellemfranken, 17 km NV. f. Nürnberg ved Regnitz og ved Ludwigs-Kanalen|0447-0448
|Erlanger, Camille, fransk Komponist, (1863- )|0448
|Erlau (ung. Eger), By i det ung. Komitat Hevés, ved Floden E. (Biflod til Theiss)|0448
|Erie, se Vipstjærter.|0448
|Erlebach, Philip Heinrich, tysk Komponist (1657-1714)|0448
|Erlendsson, Jon, Præst til Villingaholt (Arnæssyssel), (1632-72)|0448
|Erlenmeyers Bromvand ell. rettere E.'s Bromsaltvand er en kulsyreholdig Opløsning af Alkalibromider|0448
|Erler, to tyske Malere og Brødre,|0448
|1) E.-Samaden, Erich, (1870- )|0448
|2) Fritz, (1868- )|0448
|Erling, nordisk Mandsnavn|0448
|Erling Alvssøn, norsk Lendermand i 13. Aarh.|0448
|Erling Skakke (*c: Skævhoved), norsk Lendermand og Jarl i 12. Aarh.|0448-0449
|Erling Skjalgssøn, norsk Høvding i Slutn. af 10. og Beg af 11. Aarh.|0449
|Erlingsson, Þorsteinn, isl. Digter og Bladudgiver, (1858-1914)|0449
|Erling Stenvæg, norsk Partihøvding i 13. Aarh.|0449-0450
|Erling Vidkunssøn, se Bjarkø-Ætten.|0450
|Erman, se Irman.|0450
|Erman, Adolf, tysk Ægyptolog, (1854- )|0450
|Erman, Georg Adolf, tysk Fysiker og Matematiker, (1806-1877)|0450
|Erman, Paul, tysk Fysiker, (1764-1851)|0450
|Ermandinger, Henning, dansk Perlestikker og kgl. Drabant, (1640-1693)|0450
|Ermenonville, Landsby i det nordvestlige Frankrig, Dept Oise, |0450
|Erminer, se Herminoner.|0450
|ermitage, se Eremitage.|0450
|Ermundurer, se Hermundurer.|0450
|Erne, Upper- and Lower-E., to Søer i det nordvestlige Irland|0450
|Ernée, By i det nordvestlige Frankrig, Dept og Arrond. Mayenne (Anjou), 24 km N. f. Mayenne ved Mayennes Biflod E.|0450
|Ernest-Charles, Jean, fr. Forf., (1875- )|0450-0451
|Ernesti, Johann August, tysk Filolog (1707-81)|0451
|Ernestinske Husorden, fælles Orden for de hertugelige sachsiske Huse |0451
|Ernouf, Alfred Auguste, Baron, fr. Historiker (1817-89)|0451
|Ernoul, Edmond, fr. Politiker (1829-99)|0451
|Ernst, tysk Mandsnavn; i nyeste Tid indvandret i Norden.|0451
|Ernst, Carl Frederik Sophus, dansk Ingeniør, (1852- )|0451
|Ernst, Heinrich Wilhelm, østerrigsk Violinvirtuos, (1814-1865)|0451
|Ernst, Jacob-Frederik Marius, dansk Officer, (1820-1897)|0451-0452
|Ernst, Johan Conrad, dansk Arkitekt, (1666-1750)|0452
|Ernst, Paul, tysk Forf., (1866- )|0452
|Ernst August, Hertug af Braunschweig-Hannover, senere Kurfyrste (1629-98)|0452
|Ernst August, Konge af Hannover 1837-51, (1771-1851)|0452
|Ernst August, Hertug af Braunschweig siden 1913, (1887- )|0452-0453
|Ernst den Fromme, Hertug af Sachsen Gotha (1601-75)|0453
|Ernst II, Hertug af. Sachsen-Koburg-Gotha 1844-93, (1818-1893)|0453
|Ernst Ahlgren, se Benedictsson, V.|0453
|Ernæring. Ved en Organismes Ernæring forstaar man den stadige Optagelse af Stoffer fra Omverdenen|0453-0457
|Ernæringsklysma. Der tilstræbes herved i ved Indhældning af Vædske i Endetarmen at tilføre Legemet Ernæring|0457
|Ernæringsskud (bot.) kaldes hos de højere Planter den Art Skud, der kun bærer vegetative Organer|0457
|Erobring, i Folkeretten: at en Stat mod en anden Stats Villie med Magt berøver den Herredømmet over dens Territorium|0457
|erodere (lat.), afgnave, ætse; Erodentia, Ætsningsmidler.|0457
|Erodium, se Tranehals.|0457
|Eroica (eroico, fr. héroique, heltemæssig), Tillægsnavn, for Beethovens 3. Symfoni i Es-dur (op. 55)|0457
|Eromanga, Ø af Ny Hebriderne|0457
|Eros (gr.: »Kærlighed«), gr. Guddom|0457-0461
|Erosion kaldes i Geologien den nedbrydende Virksomhed, som Vand og Vind udøver paa Jordens Overflade|0461-0462
|Erotema (gr., Ft.: Erotemata), Spørgsmaal|0462
|Eroter, se Eros.|0462
|Erotia, oldgr. Fest til Ære for Eros, højtideligholdtes af Indb. i Thespiai|0462
|Erotik (gr.) betegner dels Elskov (erotisk Kærlighed, Eros), dels Læren om »Kunsten at elske«|0462
|Erotika (gr.), bibliografisk Navn paa de Samlinger af obscøne og letfærdige litterære Frembringelser|0462
|Erotiker (gr.), Forf. af erotiske Skrifter|0462
|erotisk (gr., af Eros), Betegnelse for alt, hvad der forholder sig til e.|0462
|Erotomani (gr.), Kærlighedsrasen, hensynsløst fremviste sygelige Forøgelse af Kønsdriften|0462
|Erp, nord. Sagnhelt, Halvbroder til Sørle og Hamder|0462
|Erpenius, Thomas, højt fortjent holl. Orientalist (1584-1624)|0462
|Erquy, lille By i det nordvestlige Frankrig, Dept Cotes-du-Nord (Bretagne), ved St-Brieuc-Bugten, 26 km ØNØ. f. St Brieuc|0462
|Err, Bjerggruppe, hørende til de rhætiske Alper i det schweiziske Kanton Graubünden mellem Øvre-Engadin og Oberhalbstein-Dalen|0462
|Errante, Vincenzo, ital. Digter, (1813-1891)|0462
|errare humanum est (lat.), at fejle er menneskeligt.|0462
|errata, se erratum.|0462
|erratiske Blokke (Vandreblokke, Flytblokke) kaldes løst liggende Sten|0462-0463
|erratum (lat.), Fejltagelse, Fejl; spc. Trykfejl (Fl. errata, Trykfejlsliste).|0463
|Erreforia, i Oldtiden Navn paa en Fest, der holdtes i Athen til Ære for Athene Polias|0463
|error (lat.), Fejltagelse, Fejl, Vildfarelse|0463
|Ersch, Johan Samuel, tysk Bibliograf, (1766-1828)|0463
|Érsekújvár, tysk Neuhäsel, By i det nordvestlige Ungarn, Komitatet Neutra, ligger ved Floden Neutra|0463
|Erser, en mordvinsk Stamme, der bor ved Floden Oka i det russ. Guv. Nishnij Novgorod|0463
|Ersingjan, se Erzingan.|0463
|Ersirum, se Erzerum. |0463
|ersisk, det gæliske Sprog, der tales i de skotske Højlande; det bruges ogsaa som Betegnelse for irsk Gælisk|0463
|Erskine, St. Vincent, eng. Afrikarejsende|0463
|Erskine, Thomas, eng. Sagfører og Politiker, (1750-1823)|0463-0464
|Erslev, Anna, dansk Forfatterinde, (1862- )|0464
|Erslev, Eduard, dansk geogr. Forf., (1824-1892)|0464
|Erslev, Emil, dansk Musikhandler og mus. Forf., (1817-1882)|0464
|Erslev, Jacob, dansk Boghandler, (1819-1902)|0464
|Erslev, Kristian Sofus August, dansk Historiker, (1852- )|0464-0465
|Erslev, Thomas Hansen, dansk Litterærhistoriker, (1803-1870)|0465
|Erstad-Jørgensen, Erik, dansk Havearkitekt, (1871- )|0465
|Erstatning betegner efter retlig Sprogbrug en Værdi, der tilkommer en Person som Oprettelse for en Skade|0465-0468
|Erstein, By i Elsass-Lothringen, ligger 21 km SSV. f. Strassburg|0468
|Erte, Paul, tysk Musiker,(1865- )|0468
|Ertel, Traugott Lebrecht, tysk Instrumentmager (1778-1858)|0468
|Ertholmene, se Christiansø.|0468
|Erts, d. s. s. Malm.|0468
|Ertslejesteder, se Lejesteder.|0468
|Ertsbjerge, d. s. s. Erzgebirge.|0468
|Erub (hebr.) er i Talmud Loven om Overførelsen af Genstande fra et Omraade (reshut) til et andet paa Sabbaten|0468
|Eruca Lam., Slægt af Korsblomstrede, oprette Urter|0468
|Erucasyre (Brassinsyre), C<sub>22</sub>H<sub>42</sub>O<sub>2</sub>|0468
|Erudition, lærd Dannelse, grundig Lærdom.|0468
|Eruption (lat.), Udbrud, i Medicinen specielt anvendt for akutte Frembrud af sygelige Fænomener paa Huden|0468-0469
|Eruption, se Vulkaner.|0469
|Eruptivbjergarter kaldes alle de Bjergarter, der er dannede ved Størkning af smeltede Masser|0469
|Erv (Gulo luscus), se Jærv.|0469
|Ervum, se Vikke.|0469
|Erycina, se Erykine.|0469
|Erykinie (lat. Erycina), Gudinde, der dyrkedes paa Bjerget Eryx paa Sicilien|0469
|Erymanthos, |0469
|1) Oldtidens Navn paa den 2224 m høje Kalkstens-Bjergmasse paa Peloponnes, 30 km SSØ. f. Patras|0469
|2) E. er ogsaa hos græske Forf. Navnet paa en Flod i Arachosien, nu Hilmend.|0469
|Eryngium L. (Mandstro), Slægt af Skærmplanterne (Sannikel-Gruppen), mest fleraarige Urter|0469-0470
|Erysichton, gr. Heros, Søn af Triopas, Konge i Thessalien|0470
|Erysimum L. (Hjørneklap), Slægt af Korsblomstrede, en-, to- ell. fleraarige Urter|0470
|Erysipelas, Rødsyge, Rosen.|0470
|Erysiphe, Erysipheaceæ , se Meldugfamilien.|0470
|Erythanthema, ethvert Hududslæt med erythemlignende Grundlag.|0470
|Erytheia, iflg. græske Sagn en Ø i det fjerneste Vesten, hvor Kong Geryones' Okser græssede|0470
|Erythem (gr.), Hudrødme, foraarsaget ved Blodtilstrømning og Betændelse|0470
|Erythrai, en af de tolv ioniske Stæder i Lilleasien i Oldtiden|0470
|Erythrasma (gr.) kaldes en kronisk, overfladisk Hudsygdom af ringe Bet.|0470
|Erythrin. Med dette Navn betegnes forskellige Stoffer: |0470
|1) Mineralet E., se Koboltblomst; |0470
|2) Erythriteus, Orsellin-syreæter (se Erythrit); |0470
|3) Erythrin-syre, der forekommer i Rocella tinctoria og Rocella fuciformis; |0470
|4) Metyleozin, se Eozin.|0470
|Erythrina L., Slægt af Ærteblomstrede (Bønne-Gruppen), Træer ell. Buske|0470-0471
|Erythrinsyre, se Erythrin.|0471
|Erythrit (Erythromannit, Erythroglucin, Phycit), er en fireatomig Alkohol|0471
|Erythritsyre, se Erythrit.|0471
|Erythrocyter, se Blod S. 429.|0471
|Erythrodekstrin, Overgangsform mellem Stivelse og Druesukker under Indvirkningen af Spyttet.|0471
